player_id,fixture_id,season_id,team_id,minutes_played,starter_flag
5140,124791,777,10,90,1
5178,124791,777,10,90,1
10458,124791,777,10,30,0
10651,124791,777,10,18,0
15802,124791,777,10,8,0
19919,124791,777,10,59,1
20559,124791,777,10,90,1
23593,124791,777,10,90,1
23815,124791,777,10,18,0
32894,124791,777,10,90,1
33231,124791,777,10,90,1
43586,124791,777,10,30,0
63633,124791,777,10,71,1
75382,124791,777,10,81,1
81542,124791,777,10,71,1
116665,124791,777,10,59,1
3512,124791,777,127,89,1
13706,124791,777,127,83,1
14846,124791,777,127,90,1
25474,124791,777,127,90,1
33032,124791,777,127,90,1
42894,124791,777,127,90,1
51942,124791,777,127,1,0
54989,124791,777,127,90,1
63553,124791,777,127,16,0
74965,124791,777,127,90,1
74976,124791,777,127,73,1
132285,124791,777,127,90,1
133123,124791,777,127,6,0
134403,124791,777,127,90,1
137832,124791,777,127,1,0
5758,124792,777,2,90,1
5865,124792,777,2,90,1
8658,124792,777,2,90,1
8900,124792,777,2,90,1
13274,124792,777,2,65,1
13344,124792,777,2,90,1
14456,124792,777,2,6,0
20473,124792,777,2,90,1
23968,124792,777,2,90,1
25067,124792,777,2,90,1
51423,124792,777,2,83,1
108096,124792,777,2,90,1
3905,124792,777,23,90,1
5220,124792,777,23,90,1
8707,124792,777,23,90,1
9662,124792,777,23,12,0
10079,124792,777,23,90,1
14716,124792,777,23,89,1
20607,124792,777,23,82,1
23747,124792,777,23,90,1
49259,124792,777,23,77,1
49495,124792,777,23,90,1
71623,124792,777,23,90,1
74761,124792,777,23,90,1
114590,124792,777,23,1,0
117647,124792,777,23,7,0
3894,124793,777,34,24,0
4717,124793,777,34,65,1
4880,124793,777,34,90,1
4979,124793,777,34,24,0
4985,124793,777,34,90,1
6712,124793,777,34,6,0
11071,124793,777,34,65,1
13961,124793,777,34,90,1
14445,124793,777,34,13,0
16044,124793,777,34,90,1
21614,124793,777,34,65,1
23793,124793,777,34,90,1
26151,124793,777,34,90,1
35752,124793,777,34,83,1
117763,124793,777,34,24,0
128976,124793,777,34,76,1
2100,124793,777,131,2,0
3452,124793,777,131,21,0
8163,124793,777,131,90,1
14671,124793,777,131,87,1
50727,124793,777,131,21,0
51830,124793,777,131,68,1
67928,124793,777,131,90,1
72239,124793,777,131,90,1
75709,124793,777,131,90,1
76090,124793,777,131,90,1
117732,124793,777,131,82,1
124396,124793,777,131,68,1
134176,124793,777,131,7,0
134333,124793,777,131,90,1
136175,124793,777,131,68,1
143240,124793,777,131,21,0
3756,124794,777,15,78,1
10439,124794,777,15,90,1
14238,124794,777,15,6,0
15259,124794,777,15,83,1
16035,124794,777,15,90,1
16723,124794,777,15,90,1
23702,124794,777,15,90,1
23811,124794,777,15,90,1
50623,124794,777,15,78,1
51593,124794,777,15,90,1
108816,124794,777,15,90,1
133025,124794,777,15,11,0
139648,124794,777,15,90,1
304123,124794,777,15,11,0
3712,124794,777,130,21,0
10947,124794,777,130,87,1
14723,124794,777,130,90,1
24369,124794,777,130,68,1
24659,124794,777,130,90,1
32289,124794,777,130,90,1
49726,124794,777,130,68,1
65987,124794,777,130,90,1
108612,124794,777,130,21,0
